Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-11-03,TCS,EQ,3484.2,3504.2,3519.9,3466.05,3488.0,3492.25,3492.58,1537639,537032726685000.06,98779,791208,0.5146000000000001
2021-11-04,TCS,EQ,3492.25,3512.95,3513.25,3505.0,3508.65,3508.65,3509.12,328991,115446824830000.0,42244,246904,0.7505
2021-11-08,TCS,EQ,3508.65,3548.0,3548.0,3481.2,3506.0,3502.75,3503.3,2526082,884962222179999.9,144893,1652814,0.6543000000000001
2021-11-09,TCS,EQ,3502.75,3508.0,3535.0,3496.0,3503.0,3505.7,3508.51,1782692,625459439595000.0,90441,1106403,0.6206
2021-11-10,TCS,EQ,3505.7,3498.0,3519.7,3480.2,3484.95,3484.3,3494.09,1516489,529875495555000.0,115924,955899,0.6303
2021-11-11,TCS,EQ,3484.3,3480.0,3510.05,3436.0,3505.0,3488.2,3464.62,1284514,445034703155000.0,98386,614576,0.47850000000000004
2021-11-12,TCS,EQ,3488.2,3506.0,3534.15,3485.7,3524.0,3526.05,3509.52,1747259,613204878570000.0,98323,1086001,0.6215
2021-11-15,TCS,EQ,3526.05,3528.0,3569.6,3528.0,3550.0,3553.3,3554.41,1809157,643048408455000.0,113981,1104175,0.6103000000000001
2021-11-16,TCS,EQ,3553.3,3569.0,3575.55,3542.0,3548.0,3556.4,3560.79,2013204,716860574385000.0,105284,1371662,0.6813
2021-11-17,TCS,EQ,3556.4,3550.6,3562.85,3506.4,3520.8,3521.9,3533.85,1632914,577046650680000.0,126358,1033842,0.6331
2021-11-18,TCS,EQ,3521.9,3515.15,3520.85,3451.6,3471.95,3475.7,3478.49,2136598,743214386740000.0,135284,1367516,0.64
2021-11-22,TCS,EQ,3475.7,3478.4,3515.95,3440.3,3463.75,3458.4,3482.5,3167936,1103234910620000.1,169460,2146221,0.6775
2021-11-23,TCS,EQ,3458.4,3445.0,3480.95,3407.8,3472.0,3464.25,3455.05,2153461,744030803735000.0,160137,1449786,0.6731999999999999
2021-11-24,TCS,EQ,3464.25,3472.2,3493.05,3424.0,3431.95,3443.3,3469.8,2161746,750083283410000.0,163891,1640323,0.7587999999999999
2021-11-25,TCS,EQ,3443.3,3443.9,3463.0,3434.05,3450.0,3445.9,3451.54,1849619,638403018895000.0,102359,1294556,0.6999
2021-11-26,TCS,EQ,3445.9,3425.0,3490.0,3411.9,3439.2,3446.85,3454.4,1941251,670585348080000.0,156945,1152929,0.5939
2021-11-29,TCS,EQ,3446.85,3447.15,3529.35,3406.45,3503.5,3502.0,3490.28,2981745,1040713064529999.9,206893,1648719,0.5529000000000001
2021-11-30,TCS,EQ,3502.0,3491.0,3563.75,3491.0,3535.0,3529.15,3535.48,5588446,1975784611305000.0,208979,3849797,0.6889000000000001
2021-12-01,TCS,EQ,3529.15,3535.0,3590.0,3535.0,3581.0,3577.8,3568.53,2102118,750146733490000.0,177235,1311474,0.6239
2021-12-02,TCS,EQ,3577.8,3589.2,3648.0,3574.1,3637.0,3642.9,3614.21,3152938,1139538780295000.0,146031,2208112,0.7003
2021-12-03,TCS,EQ,3642.9,3646.45,3665.95,3630.85,3641.0,3640.45,3644.63,2486263,906149910735000.0,136470,1904713,0.7661
2021-12-06,TCS,EQ,3640.45,3640.45,3658.0,3522.0,3533.8,3536.4,3585.65,1849642,663217277845000.0,117199,1050297,0.5678
2021-12-07,TCS,EQ,3536.4,3562.5,3598.0,3524.3,3589.9,3584.5,3572.57,1484458,530332838625000.0,107141,812623,0.5474
2021-12-08,TCS,EQ,3584.5,3601.0,3646.45,3601.0,3624.0,3626.9,3631.02,1428660,518748913160000.06,88625,826623,0.5786
2021-12-09,TCS,EQ,3626.9,3610.0,3634.75,3566.0,3600.0,3601.75,3593.64,1567957,563466650240000.0,100995,890952,0.5682
2021-12-10,TCS,EQ,3601.75,3585.0,3642.0,3575.1,3630.0,3636.8,3611.25,1510718,545557866705000.0,69648,833404,0.5517000000000001
2021-12-13,TCS,EQ,3636.8,3650.0,3662.0,3601.7,3615.0,3609.65,3626.62,1883864,683206563760000.0,93875,1329794,0.7059000000000001
2021-12-14,TCS,EQ,3609.65,3605.0,3635.0,3576.7,3619.95,3623.8,3618.04,1747007,632073440010000.0,105436,1216832,0.6965000000000001
2021-12-15,TCS,EQ,3623.8,3620.0,3623.0,3558.15,3571.0,3570.35,3575.02,1603233,573159593960000.0,109534,1141894,0.7122
2021-12-16,TCS,EQ,3570.35,3582.0,3608.45,3570.0,3585.0,3581.6,3582.96,2072320,742503231885000.0,93950,1560825,0.7532
2021-12-17,TCS,EQ,3581.6,3602.5,3651.35,3573.7,3574.9,3584.35,3608.9,4333992,1564095896415000.0,213460,2677223,0.6177
2021-12-20,TCS,EQ,3584.35,3589.0,3606.0,3510.15,3559.3,3556.9,3569.27,2312310,825326197510000.0,146094,1243439,0.5377000000000001
2021-12-21,TCS,EQ,3556.9,3582.65,3641.2,3566.4,3611.0,3608.3,3617.22,2340989,846787760190000.0,118423,1470826,0.6283
2021-12-22,TCS,EQ,3608.3,3624.0,3636.8,3606.25,3628.3,3630.75,3625.84,1224328,443922331650000.0,102255,755182,0.6168
2021-12-23,TCS,EQ,3630.75,3648.0,3670.5,3630.0,3660.65,3662.7,3656.52,1792861,655562317405000.0,98445,1107607,0.6178
2021-12-24,TCS,EQ,3662.7,3685.0,3705.0,3644.8,3671.0,3670.9,3673.31,2209923,811772756170000.0,88664,1156092,0.5231
2021-12-27,TCS,EQ,3670.9,3671.0,3700.0,3653.1,3696.5,3696.1,3684.66,1534135,565276417230000.0,80828,866793,0.5650000000000001
2021-12-28,TCS,EQ,3696.1,3710.0,3725.0,3693.85,3706.95,3706.55,3713.05,1456218,540701257125000.0,83968,917903,0.6303
